CustomerID,Date,ProductName,Category,Quantity,UnitPrice,TotalPrice
6,2023-07-01,Servilletas,Limpieza,1,1,1
6,2023-07-01,Vodka,Licores,1,18,18
6,2023-07-01,Jabón de Baño,Cuidado Personal,1,2,2
20,2023-07-01,Jamón Serrano (100g),Snacks,1,8,8
5,2023-07-01,Caja de Cigarros,Licores,1,5,5
20,2023-07-01,Jabón de Baño,Cuidado Personal,1,2,2
5,2023-07-01,Lavaplatos,Limpieza,1,3,3
5,2023-07-01,Caja de Cigarros,Licores,1,5,5
5,2023-07-01,Lavaplatos,Limpieza,1,3,3
20,2023-07-01,Aceitunas,Snacks,1,4,4
52,2023-07-01,Champú,Cuidado Personal,1,5,5
52,2023-07-01,Crema Dental,Cuidado Personal,1,3,3
52,2023-07-01,Bolsas de Basura,Limpieza,1,3,3
94,2023-07-03,Jamón Serrano (100g),Snacks,1,8,8
138,2023-07-03,Caja de Cerveza,Licores,1,20,20
138,2023-07-03,Bolsas de Basura,Limpieza,1,3,3
94,2023-07-03,Bolsas de Basura,Limpieza,1,3,3
109,2023-07-03,Afeitadoras,Cuidado Personal,1,4,4
100,2023-07-03,Hielo (bolsa),Bebidas/Panadería,1,2,2
107,2023-07-03,Pan Campesino,Bebidas/Panadería,1,2,2
281,2023-07-03,Crema Dental,Cuidado Personal,1,3,3
138,2023-07-03,Bolsas de Basura,Limpieza,1,3,3
107,2023-07-03,Mix de Maní,Snacks,1,4,4
107,2023-07-03,Lavaplatos,Limpieza,1,3,3
107,2023-07-03,Hielo (bolsa),Bebidas/Panadería,1,2,2
198,2023-07-03,Ron Añejo,Licores,1,15,15
101,2023-07-03,Afeitadoras,Cuidado Personal,1,4,4
101,2023-07-03,Crema Dental,Cuidado Personal,1,3,3
101,2023-07-03,Caja de Cigarros,Licores,1,5,5
276,2023-07-03,Queso Amarillo (kg),Snacks,1,12,12
198,2023-07-03,Agua Mineral 5L,Bebidas/Panadería,1,4,4
198,2023-07-03,Caja de Cerveza,Licores,1,20,20
276,2023-07-03,Queso Amarillo (kg),Snacks,1,12,12
281,2023-07-03,Crema Dental,Cuidado Personal,1,3,3
138,2023-07-03,Vodka,Licores,1,18,18
94,2023-07-03,Cloro (1L),Limpieza,1,2,2
111,2023-07-03,Papas Fritas,Snacks,1,3,3
177,2023-07-04,Crema Dental,Cuidado Personal,1,3,3
139,2023-07-04,Cloro (1L),Limpieza,1,2,2
139,2023-07-04,Caja de Cigarros,Licores,1,5,5
177,2023-07-04,Caja de Cerveza,Licores,1,20,20
121,2023-07-05,Papas Fritas,Snacks,1,3,3
121,2023-07-05,Pan Campesino,Bebidas/Panadería,1,2,2
81,2023-07-05,Agua Mineral 5L,Bebidas/Panadería,1,4,4
100,2023-07-05,Caja de Cerveza,Licores,1,20,20
100,2023-07-05,Queso Amarillo (kg),Snacks,1,12,12
100,2023-07-05,Vino Tinto,Licores,1,10,10
81,2023-07-05,Afeitadoras,Cuidado Personal,1,4,4
84,2023-07-05,Jamón Serrano (100g),Snacks,1,8,8
100,2023-07-05,Caja de Cerveza,Licores,1,20,20
130,2023-07-05,Lavaplatos,Limpieza,1,3,3
97,2023-07-05,Mix de Maní,Snacks,1,4,4
82,2023-07-05,Cloro (1L),Limpieza,1,2,2
82,2023-07-05,Hielo (bolsa),Bebidas/Panadería,1,2,2
121,2023-07-05,Champú,Cuidado Personal,1,5,5
121,2023-07-05,Caja de Cerveza,Licores,1,20,20
97,2023-07-05,Vino Tinto,Licores,1,10,10
103,2023-07-05,Lavaplatos,Limpieza,1,3,3
103,2023-07-05,Caja de Cerveza,Licores,1,20,20
105,2023-07-05,Caja de Cigarros,Licores,1,5,5
173,2023-07-05,Mix de Maní,Snacks,1,4,4
173,2023-07-05,Vodka,Licores,1,18,18
173,2023-07-05,Queso Amarillo (kg),Snacks,1,12,12
84,2023-07-05,Mix de Maní,Snacks,1,4,4
175,2023-07-05,Cloro (1L),Limpieza,1,2,2
82,2023-07-05,Caja de Cigarros,Licores,1,5,5
248,2023-07-05,Champú,Cuidado Personal,1,5,5
84,2023-07-06,Afeitadoras,Cuidado Personal,1,4,4
134,2023-07-06,Queso Amarillo (kg),Snacks,1,12,12
68,2023-07-06,Lavaplatos,Limpieza,1,3,3
174,2023-07-06,Pan Campesino,Bebidas/Panadería,1,2,2
68,2023-07-06,Ron Añejo,Licores,1,15,15
68,2023-07-06,Aceitunas,Snacks,1,4,4
137,2023-07-06,Bolsas de Basura,Limpieza,1,3,3
137,2023-07-06,Servilletas,Limpieza,1,1,1
174,2023-07-06,Crema Dental,Cuidado Personal,1,3,3
68,2023-07-06,Jabón de Baño,Cuidado Personal,1,2,2
142,2023-07-06,Hielo (bolsa),Bebidas/Panadería,1,2,2
142,2023-07-06,Jabón de Baño,Cuidado Personal,1,2,2
84,2023-07-06,Pan Campesino,Bebidas/Panadería,1,2,2
134,2023-07-06,Mix de Maní,Snacks,1,4,4
134,2023-07-06,Crema Dental,Cuidado Personal,1,3,3
134,2023-07-06,Crema Dental,Cuidado Personal,1,3,3
84,2023-07-06,Jabón de Baño,Cuidado Personal,1,2,2
27,2023-07-07,Caja de Cigarros,Licores,1,5,5
27,2023-07-07,Aceitunas,Snacks,1,4,4
1,2023-07-07,Caja de Cerveza,Licores,1,20,20
1,2023-07-07,Hielo (bolsa),Bebidas/Panadería,1,2,2
27,2023-07-07,Lavaplatos,Limpieza,1,3,3
260,2023-07-07,Jabón de Baño,Cuidado Personal,1,2,2
1,2023-07-07,Papas Fritas,Snacks,1,3,3
21,2023-07-07,Crema Dental,Cuidado Personal,1,3,3
21,2023-07-07,Jabón de Baño,Cuidado Personal,1,2,2
27,2023-07-07,Cloro (1L),Limpieza,1,2,2
260,2023-07-07,Bolsas de Basura,Limpieza,1,3,3
1,2023-07-07,Cloro (1L),Limpieza,1,2,2
256,2023-07-07,Afeitadoras,Cuidado Personal,1,4,4
27,2023-07-07,Aceitunas,Snacks,1,4,4
1,2023-07-07,Caja de Cigarros,Licores,1,5,5
21,2023-07-07,Caja de Cigarros,Licores,1,5,5
27,2023-07-07,Caja de Cigarros,Licores,1,5,5
4,2023-07-08,Hielo (bolsa),Bebidas/Panadería,1,2,2
4,2023-07-08,Papas Fritas,Snacks,1,3,3
4,2023-07-08,Pan Campesino,Bebidas/Panadería,1,2,2
33,2023-07-08,Refresco 2L,Bebidas/Panadería,1,3,3
4,2023-07-08,Jabón de Baño,Cuidado Personal,1,2,2
4,2023-07-08,Caja de Cerveza,Licores,1,20,20
4,2023-07-08,Ron Añejo,Licores,1,15,15
8,2023-07-08,Jamón Serrano (100g),Snacks,1,8,8
8,2023-07-08,Aceitunas,Snacks,1,4,4
8,2023-07-08,Servilletas,Limpieza,1,1,1
8,2023-07-08,Afeitadoras,Cuidado Personal,1,4,4
8,2023-07-08,Refresco 2L,Bebidas/Panadería,1,3,3
4,2023-07-08,Papas Fritas,Snacks,1,3,3
33,2023-07-08,Papas Fritas,Snacks,1,3,3
8,2023-07-08,Crema Dental,Cuidado Personal,1,3,3
36,2023-07-08,Vodka,Licores,1,18,18
36,2023-07-08,Mix de Maní,Snacks,1,4,4
36,2023-07-08,Jabón de Baño,Cuidado Personal,1,2,2
36,2023-07-08,Crema Dental,Cuidado Personal,1,3,3
8,2023-07-08,Papas Fritas,Snacks,1,3,3
36,2023-07-08,Vodka,Licores,1,18,18
36,2023-07-08,Vodka,Licores,1,18,18
36,2023-07-08,Vodka,Licores,1,18,18
33,2023-07-08,Caja de Cerveza,Licores,1,20,20
